date_key,full_date,day,day_of_week,day_name,week_of_year,month,month_name,quarter,year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,fiscal_year,fiscal_quarter
178,2011-06-27,27,0,Monday,26,6,June,2,2011,0,0,0,0,0,0,0,2012,1
179,2011-06-28,28,1,Tuesday,26,6,June,2,2011,0,0,0,0,0,0,0,2012,1
180,2011-06-29,29,2,Wednesday,26,6,June,2,2011,0,0,0,0,0,0,0,2012,1
181,2011-06-30,30,3,Thursday,26,6,June,2,2011,0,0,1,0,1,0,0,2012,1
182,2011-07-01,1,4,Friday,26,7,July,3,2011,0,1,0,1,0,0,0,2012,2
183,2011-07-02,2,5,Saturday,26,7,July,3,2011,1,0,0,0,0,0,0,2012,2
184,2011-07-03,3,6,Sunday,26,7,July,3,2011,1,0,0,0,0,0,0,2012,2
185,2011-07-04,4,0,Monday,27,7,July,3,2011,0,0,0,0,0,0,0,2012,2
186,2011-07-05,5,1,Tuesday,27,7,July,3,2011,0,0,0,0,0,0,0,2012,2
187,2011-07-06,6,2,Wednesday,27,7,July,3,2011,0,0,0,0,0,0,0,2012,2
188,2011-07-07,7,3,Thursday,27,7,July,3,2011,0,0,0,0,0,0,0,2012,2
189,2011-07-08,8,4,Friday,27,7,July,3,2011,0,0,0,0,0,0,0,2012,2
190,2011-07-09,9,5,Saturday,27,7,July,3,2011,1,0,0,0,0,0,0,2012,2
191,2011-07-10,10,6,Sunday,27,7,July,3,2011,1,0,0,0,0,0,0,2012,2
192,2011-07-11,11,0,Monday,28,7,July,3,2011,0,0,0,0,0,0,0,2012,2
193,2011-07-12,12,1,Tuesday,28,7,July,3,2011,0,0,0,0,0,0,0,2012,2
194,2011-07-13,13,2,Wednesday,28,7,July,3,2011,0,0,0,0,0,0,0,2012,2
195,2011-07-14,14,3,Thursday,28,7,July,3,2011,0,0,0,0,0,0,0,2012,2
196,2011-07-15,15,4,Friday,28,7,July,3,2011,0,0,0,0,0,0,0,2012,2
197,2011-07-16,16,5,Saturday,28,7,July,3,2011,1,0,0,0,0,0,0,2012,2
